Date,Title,Author
9/13/2019,Factfulness,Hans Rosling
9/20/2019,Silent Spring,Rachel Carson
9/24/2019,Good to Great,Collins
10/15/2019,How to Win Friends and Influence People,Dale Carnegie
10/17/2019,Uncle Tom's Cabin,Harriet Beecher Stowe
10/28/2019,After The Flood,Kassandra Montag
11/7/2019,Quiet,Susan Cain
11/10/2019,I'm Not Dying with You Tonight,Kimberly Jones &  Gilly Segal
11/12/2019,Franny and Zooey,J. D. Salinger
11/20/2019,"Guns, Germs, and Steel",Jared Diamond
11/23/2019,Outliers,Malcom Gladwell
11/25/2019,Annihilation,Jeff Vandemeer
11/27/2019,The Night Circus,Erin Morgenstern
12/1/2019,The Moment of Lift,Melinda Gates
12/8/2019,The Name of the Wind,Patrick Rothfuss
12/20/2019,The 71/2 Deaths of Evelyn Hardcastle,Stuart Turton
12/20/2019,The Library Book,Susan Orlean
12/27/2019,Educated,Tara Westover
1/6/2020,I'll Be Gone in the Dark,Michelle McNamara
1/8/2020,The Witch Elm,Tana French
1/12/2020,Little Fires Everywhere,Celeste Ng
1/13/2020,Men Explain Things to Me,Rebecca Solnit
1/14/2020,Why We Sleep,Matthew Walker
1/15/2020,The Lady From The Black Lagoon,Mallory O'Hara
1/17/2020,The Hate U Give,Angie Thomas
1/18/2020,Bad Blood,John Carreyrou
1/22/2020,Braving The Wilderness,Brene Brown
1/24/2020,"Girl, Wash Your Face",Rachel Hollis
1/28/2020,Borne,Jeff Vandemeer
1/29/2020,Invisible Women,Caroline Criado Perez
1/31/2020,Astrophysics For People In A Hurry,Neil Degrasse Tyson
2/1/2020,Recursion,Blake Crouch
2/3/2020,Aristotle For Everybody,Mortimer J. Adler
2/4/2020,Over The Top,Jonathan Van Ness
2/7/2020,Hidden Figures,Margot Lee Shetterly
2/11/2020,Circe,Madeline Miller
2/19/2020,Becoming,Michelle Obama
2/19/2020,The Eye Of The World,Robert Jordan
2/24/2020,Flour Water Salt Yeast,Ken Forkish
2/25/2020,Weapons of Math Destruction,Cathy O'Neil
2/27/2020,I Am Malala,Malala Yousafzai
3/2/2020,Where The Crawdads Sing,Delia Owens
3/3/2020,Acceptance,Jeff Vandemeer
3/4/2020,Scythe,Neal Shusterman
3/5/2020,The Life-Changing Magic Of Tidying Up,Marie Kondo
3/8/2020,Inside Out,Demi Moore
3/11/2020,The Audacity of Hope,Barack Obama
3/16/2020,The Wise Man's Fear,Patrick Rothfuss
3/16/2020,The Power of Habit,Charles Duhigg
3/22/2020,The Golden Compass,Phillip Pullman
3/25/2020,The Starless Sea,Erin Morgenstern
3/26/2020,The Second Sex,Simone De Beauvoir
3/30/2020,Know My Name,Chanel Miller
4/2/2020,Common Sense,Thomas Paine
4/2/2020,Conflagration,John A Buehrens
4/4/2020,City of Girls,Elizabeth Gilbert
4/12/2020,The Intelligent Investor,Benjamin Graham
4/17/2020,Permanent Record,Edward Snowden
4/22/2020,Reimagining Equality,Anita Hill
4/26/2020,Blood Of Elves,Andrzej Sapkowski
4/27/2020,What Happened,Hillary Rodham Clinton
4/27/2020,Stay Sexy & Don't Get Murdered,"Karen Kilgariff, Georgia Hardstark"
4/29/2020,So You Want To Talk About Race,Ijeoma Oluo
5/3/2020,The Institute,Stephen King
5/14/2020,The Little Book of Common Sense Investing,John C. Bogle
5/14/2020,Code Girls,Liza Mundy
5/15/2020,In Bed with a Highlander,Maya Banks
5/19/2020,Thunderhead,Neal Shusterman
5/21/2020,When,Daniel H. Pink
6/1/2020,The Subtle Knife,Phillip Pullman
6/7/2020,The Great Hunt,Robert Jordan
6/14/2020,The Dragon Reborn,Robert Jordan
6/15/2020,The Man Who Solved The Market,Gregory Zuckerman
6/19/2020,The Greatest Love Story Ever Told,"Megan Mullally, Nick Offerman"
6/21/2020,The Toll,Neal Shusterman
6/24/2020,How to Be an Antiracist,Ibram X. Kendi
7/4/2020,Sorted,Jackson Bird
7/6/2020,Dopesick,Beth Macy
7/9/2020,The Shadow Rising,Robert Jordan
7/12/2020,Dread Nation,Justina Ireland
7/16/2020,Dreadnought,April Daniels
7/20/2020,The Last Wish,Andrzej Sapkowski
7/23/2020,Dark Matter,Blake Crouch
7/25/2020,Desert Places,Blake Crouch
7/31/2020,Sovereign,April Daniels
8/4/2020,Locked Doors,Blake Crouch
8/5/2020,Break You,Blake Crouch
8/17/2020,The Darwin Affair,Tim Mason
8/24/2020,The Amber Spyglass,Phillip Pullman
8/29/2020,Cinder,Marissa Meyer
8/31/2020,My Own Words,Ruth Bader Ginsburg
