Date completed,Title,100%
1/19/22,Undertale,Yes
1/20/22,Fire Emblem: Three Houses,
2/9/22,Baba is You,Yes
2/14,Pokemon Legends: Arceus,Yes
3/30/22,Elden Ring,Yes
3/31/22,Death's Door,
4/5/22,Guardians of the Galaxy ,
4/17/22,Tunic,Yes
5/5/22,Vampire Survivors ,Yes
6/19/22,Paradise Killer,Yes
6/30/22,The Nonary Games: 999,Yes
8/4/22,Dark Souls 2,Yes
11/6/22,Deathloop,
11/2/22,God of War: Ragnarok ,Yes
12/12/22,Pokemon Scarlet,Yes
1/2/23,Gore Screaming Show,Yes
2/16/22,Persona 3 portable,
2/21/23,Hi-fi Rush,
2/27/23,Atomic Heart,
3/3/23,Disco Elysium ,
3/12,Wo Long: Fallen Dynasty,
3/15/23,Citizen Sleeper,
3/24/23,Kentucky Route Zero,
3/30/23,Mortal Shell,
4/4/23,Beacon Pines,Yes
4/16/23,Danganronpa: Trigger Happy Havoc,
4/28/23,Ghostwire Tokyo,
5/13/23,Danganronpa v2: Goodbye Despair,
7/14/23,Danganronpa V3: Killing Harmony,
7/25/23,Ghost Song,
7/27/23,Marquette,
7/28/23,Turnip Boy Commits Tax Evasion,
10/18/23,Baldurs Gate 3,
11/4/23,Lies of P,
11/22/23,Alan Wake 2,
11/23/23,Cocoon,
11/27/23,Thirsty Suitors ,
12/4/23,Rollerdrone,Yes
1/1/24,Solar Ash,
1/7/24,Jusant,
2/4/24,Cyberpunk 2077,
2/20/24,Cassette Beasts,
3/8/2024,Resident Evil 2: Remake,
3/9/2024,A Little to the Left,
3/13/24,Turnip Boy Robs a Bank,
3/31/24,Sea of Stars,
4/7/24,Evil West,
4/25/24,No More Heroes 3 ,
5/27/24,star wars Jedi: Survivor ,
5/31/24,Hellblade 2,
6/3/24,Planet of Lana,
6/9/24,The Last Case of Benjamin Fox,
6/14/24,Another Crab's Treasure,
9/14/24,Chrono Trigger,
10/13/24,Darkest Dungeon,Yes
9/20/24,Crow Country,Yes
10/20,Neon White,Yes
1/4,Metaphor: Re Fantasio,Yes
1/22,wilmot's warehouse ,Yes
1/30,Balatro,
03/08/25,Killer Frequency ,Yes
3/22,Indiana Jones and the Great Circle,Yes
4/1,Animal Well,Yes
5/28,Slay the Princess,
7/8/25,Void Stranger ,
8/11/25,Monster Hunter: Wilds,
