Date Watched,Title,Director,Year
6/18/21,Joker,Todd Phillips,2019
6/30/21,Inside,Bo Burnham,2021
8/21/21,Twilight,Catherine Hardwicke,2008
8/21/21,Twilight: New Moon,Chris Weitz,2009
09/09/21,Twilight Eclipse,David Slade,2010
9/18/21,Twilight Breaking Dawn: Part One,Bill Condon,2011
9/25/21,Shang Chi and the Legend of the Ten Rings,Destin Daniel Cretton,2021
10/2/21,The Lady in the Water,M. Night Shyamalayn,2006
10/6/21,Friday the 13th,Sean S. Cunningham,1980
10/22/21,The Lizzie Maguire Movie,Jim Fall,2003
10/22/21,The Princess Diaries 2: Royal Engagement,Garry Marshall,2004
10/25/21,Fear Street Part 1: 1994,Leigh Janiak,2021
10/28/21,Fear Street Part 2: 1974,Leigh Janiak,2021
10/31/21,Fear Street Part 3: 1666,Leigh Janiak,2021
11/13/21,Luca,Enrico Casarosa,2021
11/13/21,Dune,Denis Villeneuve,2021
11/19/21,Raya and the last dragon,Carlos López Estrada,2021
12/1/21,The Animatrix,The Wachowski siblings,2003
12/5/21,Freaky,Christopher Landon,2020
12/8/21,The Matrix,The Wachowski siblings,1999
12/11/21,The King of Staten Island,Judd Apatow,2020
12/14/21,The Matrix: Reloaded,The Wachowski siblings,2003
12/16/21,The Matrix: Revolutions,the Wachowski siblings,2003
12/22/21,The Matrix: Resurections,Lana Wachowski,2021
12/23/21,A Very Harold & Kumar Christmas,Todd Strauss-Schulson,2011
12/26/21,Encanto,Byron Howard,2021
1/22/22,The Witch,Robert Eggers,2016
1/23/22,The Lighthouse,Robert Eggers,2019
1/23/22,Fists of the Red Dragon,Woo Ping Yuen,1993
1/13/22,Blades of Glory,Josh Gordon,2007
1/27/22,Operation Condor,Jackie Chan,1991
1/28/22,Magic Mike XXL,Gregory Jacobs,2015
1/29/22,Speed Racer,the Wachowski siblings,2008
1/29/22,Under the Skin,Jonathan Glazer,2013
2/3/22,Jackass Forever,Jeff Tremaine,2021
2/5/22,Spree,Eugene Kotlyarenko,2020
2/14/22,My Bloody Valentine,Patrick Lussier,2009
3/19,Turning Red,Domee Shi,2022
